day,doppler_rms_mm_s,n_60s_samples,tropo_rate_rms,elongation_deg,solar_model_mm_s,decimal_year,doppler_smooth_mm_s,solar_smooth_mm_s,tropo_smooth
2012-09-18,0.06316133696908559,541,0.00036518966525006774,42.9587,0.027983796745238647,2012.7145790554414,0.050094342913309144,0.027983796745238647,0.00036518966525006774
2012-09-19,0.03540706782302932,528,0.0004197262706676696,42.8125,0.028078133703746264,2012.7173169062287,0.04691055156791155,0.028078133703746264,0.00036518966525006774
2012-09-20,0.07353883530345498,528,0.00041749559150702634,42.6638,0.02817490917196671,2012.7200547570158,0.050094342913309144,0.02817490917196671,0.00036518966525006774
2012-09-21,0.050094342913309144,533,0.00038347301096705274,42.5128,0.028274042661043827,2012.7227926078028,0.052539319702634674,0.028274042661043827,0.00038347301096705274
2012-09-22,0.04691055156791155,555,0.00018780372834123713,42.3594,0.02837565033897842,2012.72553045859,0.050094342913309144,0.02837565033897842,0.00038347301096705274
2012-09-23,0.05397700961764447,555,0.00018874064716351355,42.2036,0.028479785345194755,2012.7282683093772,0.052539319702634674,0.028479785345194755,0.00038347301096705274
2012-09-24,0.052539319702634674,533,0.0004248031496652355,42.0456,0.028586367115562127,2012.7310061601643,0.050094342913309144,0.028586367115562127,0.00018874064716351355
2012-09-25,0.03497643387423618,555,0.0001882055533711069,41.8854,0.028695448676683163,2012.7337440109513,0.04691055156791155,0.028695448676683163,0.0001885471782153566
2012-09-26,0.05271257393740416,530,0.00043689864814828414,41.7229,0.028807153900820774,2012.7364818617386,0.052539319702634674,0.028807153900820774,0.0001885471782153566
2012-09-27,0.03865387131240869,555,0.00018725053604192694,41.5584,0.028921332213459206,2012.7392197125257,0.040181109011891245,0.028921332213459206,0.0001885471782153566
2012-09-28,0.040181109011891245,555,0.0001885471782153566,41.3917,0.029038178940339682,2012.7419575633128,0.040181109011891245,0.029038178940339682,0.0001882055533711069
2012-09-29,0.08282692229301636,554,0.00018732133508960703,41.2231,0.029157541105250772,2012.7446954140999,0.040181109011891245,0.029157541105250772,0.00018791673435486332
2012-10-01,0.03710900242127158,555,0.00018911252701761804,40.8798,0.029404327973284065,2012.7501711156742,0.0395272768077926,0.029404327973284065,0.00018791673435486332
2012-10-02,0.04961982307725394,555,0.00018758283344638184,40.7054,0.02953165605880562,2012.7529089664613,0.040181109011891245,0.02953165605880562,0.0001885471782153566
2012-10-03,0.0395272768077926,554,0.00018791673435486332,40.5292,0.029661662070153014,2012.7556468172484,0.04164886425486911,0.029661662070153014,0.00018898763687789436
2012-10-04,0.038262920749169364,554,0.00018900550164377937,40.3511,0.029794482261953276,2012.7583846680357,0.04164886425486911,0.029794482261953276,0.00018900550164377937
2012-10-05,0.07559008379149934,554,0.0001904095929901123,40.1714,0.02992995495907028,2012.7611225188227,0.04961982307725394,0.02992995495907028,0.00018900550164377937
2012-10-06,0.04164886425486911,555,0.00018898763687789436,39.9901,0.030068140492448207,2012.7638603696098,0.07411451804477896,0.030068140492448207,0.0001893010346955841
2012-10-07,0.19645948304974245,554,0.0001893010346955841,39.8071,0.030209178594446627,2012.766598220397,0.07411451804477896,0.030209178594446627,0.0001904095929901123
2012-10-08,0.26008898504957256,554,0.00019050045316862906,39.6225,0.030353057729788437,2012.7693360711842,0.07559008379149934,0.030353057729788437,0.0001904095929901123
2012-10-09,0.07411451804477896,299,0.00022475376732932287,39.4365,0.03049968564540138,2012.7720739219712,0.07411451804477896,0.03049968564540138,0.00019019261065844427
2012-10-10,0.03140597309842653,297,0.0002254290305377899,39.249,0.030649205457640195,2012.7748117727583,0.07411451804477896,0.030649205457640195,0.00019050045316862906
2012-10-11,0.08473082103076032,553,0.00019019261065844427,39.0601,0.03080160371190438,2012.7775496235456,0.07168961889509469,0.03080160371190438,0.00019050045316862906
2012-10-12,0.045254166845176455,553,0.0001901390953137129,38.8698,0.030956947367855186,2012.7802874743327,0.058688909895520495,0.030956947367855186,0.00019163531159403538
2012-10-13,0.058688909895520495,553,0.00019168533805868316,38.6782,0.03111522239309009,2012.7830253251198,0.058688909895520495,0.03111522239309009,0.00019019261065844427
2012-10-14,0.07168961889509469,553,0.00018983169576240546,38.4854,0.03127641290763663,2012.7857631759068,0.058688909895520495,0.03127641290763663,0.00019019261065844427
2012-10-15,0.04118751931471578,553,0.00019163531159403538,38.2912,0.03144075646900227,2012.7885010266941,0.055357397755421034,0.03144075646900227,0.00019163531159403538
2012-10-16,0.06046727623908318,284,8.909873974150848e-05,38.0958,0.03160815636222037,2012.7912388774812,0.055357397755421034,0.03160815636222037,0.00019168533805868316
2012-10-17,0.03836000354214414,422,0.00020262876224257494,37.8993,0.03177859695806066,2012.7939767282683,0.047321174199412584,0.03177859695806066,0.00019456147519663185
2012-10-18,0.055357397755421034,553,0.00019456147519663185,37.7015,0.031952325608137135,2012.7967145790553,0.047321174199412584,0.031952325608137135,0.0001958787813712324
2012-10-19,0.047321174199412584,553,0.00019611844689801264,37.5026,0.03212924282822436,2012.7994524298426,0.0531637691975433,0.03212924282822436,0.00019611844689801264
2012-10-20,0.035983904993776926,553,0.0001958787813712324,37.3025,0.03230951447534333,2012.8021902806297,0.04939544178851883,0.03230951447534333,0.00019941321380398635
2012-10-21,0.10537022260624505,553,0.00019941321380398635,37.1013,0.03249312979117114,2012.8049281314168,0.0531637691975433,0.03249312979117114,0.00019941321380398635
2012-10-22,0.0531637691975433,553,0.00019953099740715118,36.899,0.03268016885735698,2012.807665982204,0.0531637691975433,0.03268016885735698,0.00019953099740715118
2012-10-23,0.04939544178851883,553,0.0002024529934864104,36.6956,0.032870714307978985,2012.8104038329911,0.0531637691975433,0.032870714307978985,0.00019953099740715118
2012-10-24,0.08630065700412906,553,0.00020770822977351017,36.4911,0.033064851430764236,2012.8131416837782,0.05520739465989318,0.033064851430764236,0.0002024529934864104
2012-10-25,0.07134536351499082,553,0.00021010802590162948,36.2855,0.033262668273136946,2012.8158795345653,0.0531637691975433,0.033262668273136946,0.00020770822977351017
2012-10-26,0.0487305986219079,484,0.00019408343952918486,36.0789,0.03346415756124112,2012.8186173853526,0.04939544178851883,0.03346415756124112,0.00020770822977351017
2012-10-27,0.05520739465989318,552,0.00022184662398432156,35.8713,0.03366940912437646,2012.8213552361397,0.05520739465989318,0.03366940912437646,0.00021010802590162948
2012-10-28,0.03668929373707578,552,0.00023052779100351774,35.6627,0.03387851570678669,2012.8240930869267,0.05520739465989318,0.03387851570678669,0.00022184662398432156
2012-10-29,0.02835447839198883,447,0.00019448899787055413,35.4532,0.03409147072249438,2012.8268309377138,0.0536780929839634,0.03409147072249438,0.00022905919091076372
2012-10-30,0.15001879059640724,545,0.00023069614262875848,35.2427,0.034308472553900474,2012.829568788501,0.0536780929839634,0.034308472553900474,0.00022910619638124498
2012-10-31,0.08972070891995634,541,0.00022990449458349554,35.0314,0.034529412693604926,2012.8323066392882,0.0536780929839634,0.034529412693604926,0.00022913316788341175
