start,end,mid,phase_rms_rad,n_samples,elongation_deg
2012-09-28 10:45:30,2012-09-28 11:05:30,2012-09-28 10:55:30,0.41147330154057044,120,41.314951875
2012-09-28 10:55:30,2012-09-28 11:15:30,2012-09-28 11:05:30,0.24738233438960194,120,41.313781041666665
2012-09-28 11:05:30,2012-09-28 11:25:30,2012-09-28 11:15:30,0.3551617576202893,120,41.31261020833333
2012-09-28 11:15:30,2012-09-28 11:35:30,2012-09-28 11:25:30,0.603428739687624,120,41.311439375
2012-09-28 11:25:30,2012-09-28 11:45:30,2012-09-28 11:35:30,0.8044015164853949,120,41.310268541666666
2012-09-28 11:35:30,2012-09-28 11:55:30,2012-09-28 11:45:30,0.5791820828188529,120,41.30909770833333
2012-09-28 11:45:30,2012-09-28 12:05:30,2012-09-28 11:55:30,0.4312682985220099,120,41.307926875
2012-09-28 11:55:30,2012-09-28 12:15:30,2012-09-28 12:05:30,0.5913951273865355,120,41.30675604166667
2012-09-28 12:05:30,2012-09-28 12:25:30,2012-09-28 12:15:30,0.8152944004147793,120,41.30558520833333
2012-09-28 12:15:30,2012-09-28 12:35:30,2012-09-28 12:25:30,0.4588178511040755,120,41.304414375
2012-09-28 12:25:30,2012-09-28 12:45:30,2012-09-28 12:35:30,0.25530249734135557,120,41.30324354166667
2012-09-28 12:35:30,2012-09-28 12:55:30,2012-09-28 12:45:30,0.328950112164858,120,41.302072708333334
2012-09-28 12:45:30,2012-09-28 13:05:30,2012-09-28 12:55:30,0.3180469711927684,120,41.300901875
2012-09-28 12:55:30,2012-09-28 13:15:30,2012-09-28 13:05:30,0.2668659346066509,120,41.29973104166667
2012-09-28 13:05:30,2012-09-28 13:25:30,2012-09-28 13:15:30,0.6491915406470025,120,41.298560208333335
2012-09-28 13:15:30,2012-09-28 13:35:30,2012-09-28 13:25:30,0.18374273629714116,96,41.297389375
2012-09-29 04:15:30,2012-09-29 04:35:30,2012-09-29 04:25:30,0.8774123295976907,98,41.1916271875
